time,seconds_elapsed,z,y,x
1772696894466752800,0.062752685546875,-0.9015655517578125,-0.309234619140625,0.0565948486328125
1772696894476722700,0.07272265625,-0.895172119140625,-0.2859039306640625,0.0850372314453125
1772696894486693600,0.082693603515625,-0.8921051025390625,-0.2594146728515625,0.099761962890625
1772696894496664800,0.092664794921875,-0.9149017333984375,-0.1875457763671875,0.09197998046875
1772696894506635800,0.1026357421875,-0.9761505126953125,-0.1354522705078125,0.063751220703125
1772696894516606500,0.1126064453125,-1.0080718994140625,-0.1533660888671875,0.10986328125
1772696894526576600,0.12257666015625,-1.0026397705078125,-0.247833251953125,0.106292724609375
1772696894536547600,0.132547607421875,-1.0509796142578125,-0.3008880615234375,0.0700531005859375
1772696894546518500,0.1425185546875,-1.1018218994140625,-0.33135986328125,0.0479888916015625
1772696894556489700,0.15248974609375,-1.0675048828125,-0.332763671875,0.0576629638671875
1772696894566460700,0.162460693359375,-1.001983642578125,-0.3105621337890625,0.0818023681640625
1772696894576430600,0.1724306640625,-0.93328857421875,-0.2874298095703125,0.108245849609375
1772696894586401800,0.18240185546875,-0.88153076171875,-0.2847137451171875,0.1283111572265625
1772696894596372500,0.19237255859375,-0.8375244140625,-0.313140869140625,0.1416015625
1772696894606343700,0.20234375,-0.8215484619140625,-0.370391845703125,0.12481689453125
1772696894616313600,0.212313720703125,-0.8765716552734375,-0.3227386474609375,0.0550537109375
1772696894626284500,0.222284423828125,-0.9623260498046875,-0.28216552734375,0.0097808837890625
1772696894636255700,0.232255859375,-0.961273193359375,-0.3861236572265625,-0.0073394775390625
1772696894646226700,0.242226806640625,-0.9276885986328125,-0.413818359375,-0.0390625
1772696894656198000,0.252197998046875,-0.9232330322265625,-0.4223175048828125,-0.0521697998046875
1772696894666167800,0.262167724609375,-0.970062255859375,-0.40484619140625,-0.0335693359375
1772696894676138800,0.272138671875,-1.0028533935546875,-0.3330535888671875,-0.0093994140625
1772696894686109700,0.282109619140625,-1.0020599365234375,-0.278411865234375,-0.0267486572265625
1772696894696080600,0.29208056640625,-0.9812774658203125,-0.2149505615234375,-0.0596771240234375
1772696894706051600,0.302051513671875,-0.9298858642578125,-0.2878570556640625,-0.0588531494140625
1772696894716021800,0.312021728515625,-0.9727935791015625,-0.2982940673828125,-0.074432373046875
1772696894725992700,0.32199267578125,-0.9751434326171875,-0.2528533935546875,-0.080963134765625
1772696894735963600,0.331963623046875,-0.9586181640625,-0.2272491455078125,-0.0941619873046875
1772696894745934800,0.341934814453125,-0.9820709228515625,-0.2320098876953125,-0.10479736328125
1772696894755905500,0.351905517578125,-0.9905242919921875,-0.20831298828125,-0.1070709228515625
1772696894765875500,0.36187548828125,-0.9864349365234375,-0.1772613525390625,-0.0949859619140625
1772696894775846700,0.3718466796875,-0.974365234375,-0.164764404296875,-0.0928802490234375
1772696894785817600,0.381817626953125,-0.92431640625,-0.1631622314453125,-0.090789794921875
1772696894795788800,0.391788818359375,-0.853515625,-0.1756439208984375,-0.0519561767578125
1772696894805759700,0.401759765625,-0.8348846435546875,-0.226593017578125,0.02655029296875
1772696894815729700,0.411729736328125,-0.8874664306640625,-0.3202362060546875,0.13067626953125
1772696894825700900,0.421700927734375,-0.9396820068359375,-0.4071807861328125,0.207611083984375
1772696894835671600,0.431671630859375,-0.9813690185546875,-0.4290008544921875,0.2283477783203125
