time,seconds_elapsed,z,y,x
1772696894466752800,0.062752685546875,-0.8756486773490906,-0.4818902015686035,0.5719737410545349
1772696894476722700,0.07272265625,-0.9151707887649536,-0.3966807723045349,0.5870568156242371
1772696894486693600,0.082693603515625,-1.006311058998108,-0.3465893864631653,0.5542379021644592
1772696894496664800,0.092664794921875,-1.0761183500289917,-0.5532472133636475,0.35334527492523193
1772696894506635800,0.1026357421875,-1.1278960704803467,-0.7174047231674194,0.12937982380390167
1772696894516606500,0.1126064453125,-1.2441598176956177,-0.7593662738800049,-0.0003787015157286078
1772696894526576600,0.12257666015625,-1.3303956985473633,-0.8507441282272339,-0.031067637726664543
1772696894536547600,0.132547607421875,-1.2702343463897705,-1.193759799003601,-0.0032469260040670633
1772696894546518500,0.1425185546875,-1.109985589981079,-1.567948579788208,0.07172771543264389
1772696894556489700,0.15248974609375,-1.009949803352356,-1.7812129259109497,0.14621366560459137
1772696894566460700,0.162460693359375,-0.9939771890640259,-1.8489043712615967,0.2047550082206726
1772696894576430600,0.1724306640625,-1.0147937536239624,-1.7482107877731323,0.23694463074207306
1772696894586401800,0.18240185546875,-1.0614579916000366,-1.4629989862442017,0.24362197518348694
1772696894596372500,0.19237255859375,-1.0906590223312378,-1.0425910949707031,0.2403942346572876
1772696894606343700,0.20234375,-1.0952553749084473,-0.736341118812561,0.22065114974975586
1772696894616313600,0.212313720703125,-1.096685767173767,-0.6692137718200684,0.11138138175010681
1772696894626284500,0.222284423828125,-1.1254923343658447,-0.6414074301719666,0.06327857077121735
1772696894636255700,0.232255859375,-1.1268502473831177,-0.6112031936645508,0.02207787148654461
1772696894646226700,0.242226806640625,-0.9781039357185364,-0.5166791081428528,-0.002999251941218972
1772696894656198000,0.252197998046875,-0.8110169768333435,-0.5119314789772034,-0.06939052790403366
1772696894666167800,0.262167724609375,-0.7289116978645325,-0.586300790309906,-0.20378588140010834
1772696894676138800,0.272138671875,-0.7131532430648804,-0.5973965525627136,-0.3573051393032074
1772696894686109700,0.282109619140625,-0.701233983039856,-0.5469467043876648,-0.5117983222007751
1772696894696080600,0.29208056640625,-0.7123165130615234,-0.31477683782577515,-0.6106367111206055
1772696894706051600,0.302051513671875,-0.7996817827224731,-0.06021673604846001,-0.7010896801948547
1772696894716021800,0.312021728515625,-0.8602284789085388,0.10740634799003601,-0.8098811507225037
1772696894725992700,0.32199267578125,-0.8456545472145081,0.35842153429985046,-0.900859534740448
1772696894735963600,0.331963623046875,-0.8445930480957031,0.5518277287483215,-0.9630512595176697
1772696894745934800,0.341934814453125,-0.8384224772453308,0.6109831929206848,-0.9602818489074707
1772696894755905500,0.351905517578125,-0.8367462754249573,0.5839009881019592,-0.90123450756073
1772696894765875500,0.36187548828125,-0.8377103805541992,0.5079415440559387,-0.7427513599395752
1772696894775846700,0.3718466796875,-0.8086491227149963,0.3876425325870514,-0.4879758059978485
1772696894785817600,0.381817626953125,-0.741206169128418,0.2298550307750702,-0.14031237363815308
1772696894795788800,0.391788818359375,-0.6868841052055359,0.08720600605010986,0.2487214058637619
1772696894805759700,0.401759765625,-0.693749725818634,0.027664383873343468,0.598255455493927
1772696894815729700,0.411729736328125,-0.7496635913848877,0.04518638551235199,0.8444958329200745
1772696894825700900,0.421700927734375,-0.8927954435348511,0.43700316548347473,0.7764022946357727
1772696894835671600,0.431671630859375,-0.9319819808006287,0.5471382141113281,0.6759377121925354
1772696894845642500,0.441642578125,-0.9316222071647644,0.4683554768562317,0.5826919078826904
1772696894855613700,0.45161376953125,-1.0110126733779907,0.488912969827652,0.3894963562488556
1772696894865583600,0.46158349609375,-1.188166618347168,0.6440317034721375,0.07113063335418701
1772696894875554600,0.471554443359375,-1.4083530902862549,0.9279054999351501,-0.27126240730285645
1772696894885525800,0.48152587890625,-1.5147453546524048,0.9640936255455017,-0.4938187599182129
1772696894895496700,0.49149658203125,-1.3749783039093018,0.8566198945045471,-0.6706026196479797
1772696894905466600,0.501466552734375,-1.339166283607483,0.9250511527061462,-0.9225214123725891
1772696894915437800,0.511437744140625,-1.2679249048233032,0.5256674885749817,-1.0981196165084839
1772696894925408500,0.521408447265625,-1.121657133102417,-0.10396555066108704,-1.1751233339309692
1772696894935379700,0.531379638671875,-0.9596306681632996,-0.6606897711753845,-1.1844696998596191
1772696894945350700,0.5413505859375,-0.837649405002594,-1.1104220151901245,-1.0437633991241455
1772696894955320600,0.551320556640625,-0.7065629959106445,-1.4951753616333008,-0.8636881709098816
1772696894965291800,0.561291748046875,-0.5852379202842712,-1.6453728675842285,-0.7590121030807495
1772696894975262700,0.5712626953125,-0.3928423523902893,-1.4324225187301636,-0.7229710221290588
1772696894985233700,0.581233642578125,-0.19392313063144684,-1.233051061630249,-0.6402345895767212
1772696894995204600,0.59120458984375,-0.065406434237957,-1.1125853061676025,-0.43402335047721863
1772696895005174500,0.601174560546875,-0.126067116856575,-1.0017751455307007,-0.2270651012659073
1772696895015145700,0.611145751953125,-0.3462362289428711,-0.9308626651763916,-0.1062268391251564
1772696895025116700,0.62111669921875,-0.5135621428489685,-0.9242016077041626,-0.011801531538367271
1772696895035087600,0.631087646484375,-0.5047734379768372,-0.9932022094726562,0.12447961419820786
1772696895045058800,0.641058837890625,-0.3697226643562317,-1.1139270067214966,0.27752241492271423
1772696895055028700,0.65102880859375,-0.15938779711723328,-1.1537543535232544,0.4309127628803253
1772696895064999700,0.660999755859375,-0.028683044016361237,-1.2284541130065918,0.45929595828056335
1772696895074970600,0.670970703125,-0.03876683488488197,-1.404979944229126,0.371567964553833
1772696895084941600,0.680941650390625,0.07436478137969971,-1.4635223150253296,0.3508762717247009
1772696895094912800,0.690912841796875,0.07019373774528503,-1.559198021888733,0.3661569356918335
1772696895104882700,0.700882568359375,-0.013626862317323685,-1.7157542705535889,0.4548548758029938
1772696895114853600,0.710853515625,-0.2428603172302246,-1.3804572820663452,0.6799465417861938
1772696895124824800,0.720824951171875,-0.6349993348121643,-0.9920732975006104,0.5077974200248718
1772696895134795800,0.730795654296875,-1.0068767070770264,-0.5078549385070801,0.15804423391819
1772696895144766500,0.740766357421875,-1.1224595308303833,0.0070608388632535934,-0.07894008606672287
1772696895154736600,0.750736572265625,-1.048301100730896,0.49534717202186584,-0.29634085297584534
