time,seconds_elapsed,z,y,x
1772467408029597700,0.06359765625,0.1591624915599823,-0.2845560908317566,0.11607547104358673
1772467408039570700,0.07357080078125,0.07228858023881912,-0.43649423122406006,-0.02534077689051628
1772467408049542700,0.083542724609375,-0.004378503188490868,-0.4627753794193268,-0.17114831507205963
1772467408059515600,0.093515625,-0.02496393956243992,-0.35349228978157043,-0.2773248255252838
1772467408069487600,0.103487548828125,0.005738845560699701,-0.13115935027599335,-0.291476845741272
1772467408079460600,0.113460693359375,0.05278917774558067,0.22216250002384186,-0.18748681247234344
1772467408089433600,0.12343359375,0.08298250287771225,0.6051642298698425,0.004680771846324205
1772467408099405800,0.13340576171875,0.056780990213155746,0.8319198489189148,0.1863033026456833
1772467408109378600,0.143378662109375,-0.02130076102912426,0.8020402789115906,0.34598883986473083
1772467408119351600,0.1533515625,-0.14156298339366913,0.5754390954971313,0.41940072178840637
1772467408129323800,0.16332373046875,-0.2546330988407135,0.24697808921337128,0.40116527676582336
1772467408139296500,0.173296630859375,-0.31836891174316406,-0.0930657610297203,0.3379213213920593
1772467408149268700,0.183268798828125,-0.32836881279945374,-0.3589094281196594,0.24130690097808838
1772467408159241700,0.19324169921875,-0.3126806616783142,-0.5414467453956604,0.10344809293746948
1772467408169214700,0.203214599609375,-0.30869126319885254,-0.62546706199646,-0.0664016604423523
1772467408179186700,0.213186767578125,-0.3221343755722046,-0.5859249830245972,-0.22681397199630737
1772467408189159700,0.22315966796875,-0.34649190306663513,-0.4403773844242096,-0.36351215839385986
1772467408199132700,0.233132568359375,-0.3760383427143097,-0.21413679420948029,-0.46419110894203186
1772467408209104600,0.243104736328125,-0.40368062257766724,0.016113989055156708,-0.49583637714385986
1772467408219077600,0.25307763671875,-0.4327127933502197,0.1605052500963211,-0.5316377878189087
1772467408229049600,0.263049560546875,-0.4297031760215759,0.2589777708053589,-0.552841067314148
1772467408239022800,0.27302294921875,-0.37792837619781494,0.3240518271923065,-0.5390048623085022
1772467408248995600,0.28299560546875,-0.31628233194351196,0.3154540956020355,-0.4674886167049408
1772467408258967600,0.292967529296875,-0.27890193462371826,0.18206754326820374,-0.3847287595272064
1772467408268940800,0.30294091796875,-0.24806785583496094,-0.03526504710316658,-0.2970314025878906
1772467408278913800,0.312913818359375,-0.22261470556259155,-0.24074256420135498,-0.22163039445877075
1772467408288885800,0.3228857421875,-0.2020990401506424,-0.4223368763923645,-0.18579170107841492
1772467408298859000,0.33285888671875,-0.16430798172950745,-0.5760092735290527,-0.2064700871706009
1772467408308832000,0.34283203125,-0.08120617270469666,-0.6500632166862488,-0.2458273470401764
1772467408318803700,0.3528037109375,0.01588122919201851,-0.6459587812423706,-0.2933032512664795
1772467408328777000,0.36277685546875,0.09796731173992157,-0.5351534485816956,-0.31763094663619995
1772467408338749000,0.3727490234375,0.1570066660642624,-0.280933678150177,-0.26908552646636963
1772467408348721700,0.3827216796875,0.17781899869441986,0.010200971737504005,-0.19232682883739471
1772467408358695000,0.39269482421875,0.22186581790447235,0.07065659016370773,-0.15213973820209503
1772467408368667000,0.4026669921875,0.2835201323032379,0.005898901727050543,-0.08754423260688782
1772467408378640000,0.412639892578125,0.28377845883369446,0.015417039394378662,0.046664174646139145
1772467408388612900,0.42261279296875,0.23145213723182678,0.06147481128573418,0.2414962500333786
1772467408398584800,0.432584716796875,0.16645289957523346,0.054492801427841187,0.4467165172100067
1772467408408557800,0.442557861328125,0.08532129228115082,-0.031378161162137985,0.607159435749054
1772467408418530800,0.45253076171875,0.015720905736088753,-0.13463424146175385,0.7412291169166565
1772467408428502800,0.462502685546875,-0.046313703060150146,-0.20744933187961578,0.8454300761222839
1772467408438475800,0.472475830078125,-0.09032776206731796,-0.22520382702350616,0.9278392195701599
1772467408448447700,0.48244775390625,-0.12084173411130905,-0.21547210216522217,0.9771436452865601
1772467408458420700,0.492420654296875,-0.14854606986045837,-0.21501031517982483,0.9716535210609436
1772467408468393700,0.502393798828125,-0.20300264656543732,-0.2244781106710434,0.8999127745628357
1772467408478366000,0.512365966796875,-0.2783064544200897,-0.24463078379631042,0.7832124829292297
1772467408488338700,0.522338623046875,-0.35050636529922485,-0.2782164514064789,0.6289970874786377
1772467408498311700,0.532311767578125,-0.3843444883823395,-0.3251461386680603,0.442512184381485
1772467408508284000,0.542283935546875,-0.3681601881980896,-0.35816746950149536,0.26462075114250183
1772467408518257000,0.5522568359375,-0.3319361209869385,-0.34172219038009644,0.13014362752437592
1772467408528229600,0.562229736328125,-0.3029249906539917,-0.2927088439464569,0.05242858827114105
1772467408538201900,0.572201904296875,-0.2689172029495239,-0.2151471972465515,0.028836442157626152
1772467408548174800,0.5821748046875,-0.2226671576499939,-0.06204020231962204,0.08116249740123749
1772467408558146800,0.592146728515625,-0.17922355234622955,0.1371176391839981,0.22031345963478088
1772467408568119800,0.602119873046875,-0.16091138124465942,0.28986483812332153,0.3653220534324646
1772467408578092800,0.6120927734375,-0.17187775671482086,0.2765466272830963,0.4170616865158081
1772467408588065000,0.62206494140625,-0.19532741606235504,0.11861905455589294,0.33231109380722046
1772467408598037800,0.632037841796875,-0.22960549592971802,-0.0885104238986969,0.13314180076122284
1772467408608010800,0.6420107421875,-0.24613893032073975,-0.2965938448905945,-0.14948216080665588
1772467408617983000,0.65198291015625,-0.24417778849601746,-0.4833530783653259,-0.47746002674102783
1772467408627956000,0.6619560546875,-0.21498394012451172,-0.5552842617034912,-0.7718064188957214
1772467408637928700,0.6719287109375,-0.181825190782547,-0.4767630994319916,-0.9611430764198303
1772467408647901000,0.68190087890625,-0.14679290354251862,-0.29955315589904785,-1.0424033403396606
1772467408657874000,0.6918740234375,-0.11610476672649384,-0.08956104516983032,-1.0231249332427979
1772467408667845600,0.701845703125,-0.07447636127471924,0.12396455556154251,-0.9155787825584412
1772467408677819000,0.71181884765625,-0.042217228561639786,0.29316768050193787,-0.7462449073791504
