time,seconds_elapsed,z,y,x
1772468062881024300,0.084024169921875,0.05756741017103195,0.6291242837905884,0.08867960423231125
1772468062890997500,0.09399755859375,0.1722087860107422,0.4782319664955139,0.10908155143260956
1772468062900969200,0.10396923828125,0.3132813274860382,0.42922458052635193,0.15493954718112946
1772468062910941400,0.11394140625,0.3928893506526947,0.4876439571380615,0.18475443124771118
1772468062920914400,0.12391455078125,0.42305654287338257,0.7361165881156921,0.24137817323207855
1772468062930886100,0.13388623046875,0.39273300766944885,1.1130497455596924,0.2759361267089844
1772468062940858600,0.143858642578125,0.31634655594825745,1.4707280397415161,0.21509774029254913
1772468062950830300,0.153830322265625,0.2768747806549072,1.8041294813156128,0.14052391052246094
1772468062960802600,0.163802490234375,0.26790034770965576,1.9451162815093994,0.08959390968084335
1772468062970775600,0.173775634765625,0.2507812976837158,2.0662808418273926,0.08735285699367523
1772468062980747500,0.18374755859375,0.16224892437458038,2.3344173431396484,0.15776251256465912
1772468062990720500,0.193720458984375,-0.013081613928079605,2.6100096702575684,0.3531634211540222
1772468063000692500,0.2036923828125,-0.24805240333080292,2.79203724861145,0.6726258397102356
1772468063010664400,0.21366455078125,-0.5779291391372681,2.7630248069763184,1.1889387369155884
1772468063020637400,0.223637451171875,-0.8802962303161621,2.769573450088501,1.7332028150558472
1772468063030609400,0.233609375,-1.0787310600280762,2.6132290363311768,2.2343506813049316
1772468063040582400,0.24358251953125,-1.1336790323257446,1.7728160619735718,2.598958730697632
1772468063050554600,0.2535546875,-1.210848331451416,0.9684507846832275,2.409271240234375
1772468063060526300,0.2635263671875,-1.2528839111328125,-0.13576500117778778,1.7023617029190063
1772468063070499300,0.273499267578125,-1.119850993156433,-0.9173697829246521,0.7955082058906555
1772468063080471600,0.283471435546875,-0.9559018015861511,-1.6255329847335815,-0.10649437457323074
1772468063090443300,0.293443359375,-0.7822983264923096,-2.2704386711120605,-0.9120559096336365
1772468063100416500,0.30341650390625,-0.7776281237602234,-2.5066006183624268,-1.530932903289795
1772468063110388500,0.313388427734375,-1.0153796672821045,-2.416764736175537,-1.8541948795318604
1772468063120361500,0.323361572265625,-1.5236172676086426,-2.2109055519104004,-1.878342628479004
1772468063130333400,0.33333349609375,-2.1478402614593506,-1.9691554307937622,-1.6458135843276978
1772468063140305400,0.343305419921875,-2.4364914894104004,-1.7571258544921875,-1.382361888885498
